48 35 59 41 37 29 33 44 43 58 56 33 39 41 58 33 37 45 46 47 32 31 53 52 61 36 48 56 59 55 42 40 56 51 52 58 58 59 49 40 46 61 32 29 38 33 53 56 59 38
46 36 60 43 39 28 35 44 44 57 56 35 39 42 56 32 36 47 47 47 34 33 54 54 62 36 50 56 59 55 41 42 54 52 54 57 59 60 50 41 46 62 33 30 40 35 54 58 60 38
44 38 62 45 40 30 36 43 42 59 56 36 40 41 58 32 37 47 46 45 32 35 56 53 64 37 52 56 59 56 39 43 56 52 54 55 59 60 52 40 46 61 34 28 41 35 54 56 62 38
42 39 64 47 38 29 35 41 41 58 56 36 40 42 57 32 38 47 46 43 31 35 54 51 62 39 53 54 60 58 40 43 58 54 53 57 57 58 52 39 47 59 33 26 39 35 54 56 60 40
43 37 63 46 36 28 36 43 41 59 55 35 40 43 58 31 39 48 44 45 30 35 52 49 60 39 55 55 62 58 38 42 56 54 54 59 59 57 50 39 46 60 32 27 37 35 56 58 59 39
43 38 63 48 37 30 35 44 41 59 53 37 38 41 57 32 37 49 42 45 32 35 51 51 58 41 54 57 60 56 36 40 55 56 53 60 58 57 48 41 45 59 33 28 39 34 57 56 58 41
43 36 62 50 37 28 37 44 43 60 55 35 38 40 55 31 38 49 43 45 34 35 49 50 59 39 56 59 58 55 35 40 54 57 53 59 57 57 50 42 46 57 31 30 41 33 58 55 58 41
44 38 62 48 36 30 35 43 41 59 55 33 40 41 55 31 37 50 45 44 34 36 51 49 58 40 57 60 58 55 33 38 56 57 51 60 57 55 52 43 47 57 30 28 42 34 59 55 56 41
46 36 60 46 36 28 36 41 43 61 55 34 39 39 56 30 39 48 44 42 33 37 50 50 58 38 55 59 56 55 31 36 54 59 49 60 56 57 52 42 46 57 29 30 41 33 58 57 57 43
46 38 58 45 36 27 38 39 42 59 55 33 40 39 58 31 41 47 42 44 31 39 50 50 57 37 55 59 54 57 30 35 54 59 51 59 54 57 54 44 44 58 27 31 39 34 57 55 55 43
48 40 58 43 35 26 36 40 40 58 55 34 42 37 60 29 39 45 41 45 29 39 50 49 57 35 54 57 52 56 31 34 56 57 49 60 55 58 55 43 42 60 25 30 38 32 59 56 55 45
47 42 60 43 37 27 38 40 41 60 53 33 41 38 62 27 38 46 39 46 28 39 52 47 59 36 52 57 54 56 33 36 55 56 48 60 56 57 53 41 44 60 26 31 36 32 57 58 54 47
48 41 58 42 36 28 39 40 41 60 52 33 43 37 63 25 38 44 39 46 29 40 54 49 59 35 52 55 56 58 35 38 57 56 50 61 54 57 55 40 45 60 27 32 38 33 56 58 55 47
47 42 59 40 35 27 40 41 40 58 54 32 45 39 64 23 38 43 41 46 27 38 53 51 58 35 54 56 58 57 35 39 55 56 49 61 55 57 57 38 45 61 26 30 36 33 57 59 53 49
46 41 57 38 37 25 38 41 41 60 56 32 45 41 62 25 39 41 42 47 28 38 52 50 58 36 53 57 60 59 34 41 54 54 47 63 54 58 56 39 43 60 28 28 35 34 59 61 55 48
48 40 56 37 38 27 38 43 39 58 57 31 44 41 62 26 37 41 41 49 28 38 51 50 59 34 55 58 58 59 36 43 52 54 49 65 53 60 54 37 42 60 30 30 34 34 59 61 53 48
46 41 57 37 40 26 39 45 40 58 56 32 43 41 62 26 39 40 41 49 29 37 50 49 59 34 53 58 56 60 37 45 54 56 51 66 51 59 55 38 41 59 32 30 34 36 58 60 54 46
45 42 58 35 38 27 40 43 39 57 58 34 44 39 60 27 38 42 40 50 28 39 52 47 61 33 54 57 57 59 37 43 52 57 52 67 49 61 55 39 39 61 31 31 32 35 56 61 53 47
47 40 56 35 37 25 39 41 38 57 57 35 42 38 61 25 39 44 40 52 27 41 50 49 62 35 56 58 56 59 37 44 53 56 53 69 49 60 54 38 37 62 33 32 30 35 58 59 52 46
48 41 54 33 35 27 38 40 36 55 56 35 40 36 61 23 41 45 40 51 28 39 48 49 63 35 55 58 54 61 36 42 53 57 54 68 49 62 53 38 38 61 35 31 30 37 58 60 52 44
50 41 53 34 36 26 40 39 34 54 56 36 41 34 62 21 39 43 41 52 29 40 47 48 61 34 54 56 52 59 38 41 55 57 54 67 50 62 51 37 38 61 34 29 29 37 60 62 51 45
